,id,mean_dist_day,mean_over_speed_perc,Cluster(4)
233,3423312915,45.82,42,Group 4
234,3423312481,44.74,25,Group 4
235,3423313911,53.88,30,Group 4
236,3423311105,44.4,29,Group 4
237,3423312215,59.01,35,Group 4
238,3423311909,53.27,19,Group 4
239,3423314269,45.62,25,Group 4
240,3423313837,53.16,53,Group 4
241,3423314291,50.91,51,Group 4
242,3423311881,33.53,42,Group 4
243,3423312020,46.92,33,Group 4
244,3423312610,59.24,35,Group 4
245,3423314333,48.37,32,Group 4
246,3423311877,50.26,21,Group 4
247,3423310736,38.14,30,Group 4
248,3423312193,63.42,26,Group 4
249,3423313751,57.46,14,Group 2
250,3423313882,63.79,33,Group 4
251,3423312229,58.13,30,Group 4
252,3423314081,56.35,41,Group 4
253,3423311721,52.95,3,Group 2
254,3423312718,55.65,27,Group 4
255,3423314210,29.44,34,Group 4
256,3423314427,49.58,39,Group 4
257,3423313361,31.3,33,Group 4
258,3423311301,43.48,29,Group 4
259,3423313773,48.94,34,Group 4
260,3423312093,43.93,32,Group 4
261,3423312612,53.83,36,Group 4
262,3423312474,53.69,21,Group 4
263,3423311693,60.33,8,Group 2
264,3423311450,40.97,42,Group 4
265,3423311351,49.29,21,Group 4
266,3423314032,56.06,34,Group 4
267,3423311710,66.16,32,Group 4
268,3423310578,32.61,23,Group 4
269,3423310713,37.37,25,Group 4
270,3423311812,46.04,38,Group 4
271,3423314051,57.17,33,Group 4
272,3423313543,41.06,31,Group 4
273,3423311594,47.21,36,Group 4
274,3423311290,55.74,44,Group 4
275,3423314242,56.34,25,Group 4
276,3423311609,61.53,11,Group 2
277,3423311665,61.4,38,Group 4
278,3423314223,59.03,29,Group 4
279,3423312735,26.76,22,Group 4
280,3423311754,48.24,34,Group 4
281,3423311799,50.84,33,Group 4
282,3423314167,64.25,28,Group 4
283,3423312455,23.06,15,Group 2
284,3423313298,47.25,23,Group 4
285,3423313402,59.19,33,Group 4
286,3423313266,32.71,17,Group 2
287,3423312626,48.87,25,Group 4
288,3423313671,58.68,24,Group 4
289,3423313459,51.16,25,Group 4
290,3423311131,49.48,34,Group 4
291,3423313120,16.05,36,Group 4
292,3423312886,53.49,51,Group 4
293,3423312024,57.19,19,Group 4
294,3423312416,49.38,37,Group 4
295,3423311082,38.82,16,Group 2
296,3423311625,49.88,37,Group 4
297,3423311466,48.81,30,Group 4
298,3423313275,58.86,42,Group 4
299,3423313213,45.22,39,Group 4
300,3423312196,49.25,25,Group 4
301,3423312697,71.53,49,Group 4
302,3423312946,49.41,38,Group 4
303,3423312130,63.19,21,Group 4
304,3423310680,48.68,22,Group 4
305,3423313703,50.11,34,Group 4
306,3423313203,43.56,24,Group 4
307,3423312854,49.36,23,Group 4
308,3423312458,23.03,21,Group 4
309,3423313083,36.14,30,Group 4
310,3423311556,37.48,26,Group 4
311,3423313124,46.35,35,Group 4
312,3423313003,41.54,27,Group 4
313,3423312311,66.05,36,Group 4
314,3423312456,47.09,27,Group 4
315,3423310609,33.84,35,Group 4
316,3423313087,41.45,37,Group 4
317,3423312821,56.09,9,Group 2
318,3423311525,54.66,34,Group 4
319,3423310932,53.23,47,Group 4
320,3423314232,53.51,33,Group 4
321,3423311442,48.56,37,Group 4
322,3423310670,35.91,30,Group 4
323,3423311052,58.04,28,Group 4
324,3423312870,37.16,19,Group 2
325,3423311497,42.45,16,Group 2
326,3423310837,62.65,41,Group 4
327,3423312539,51.42,35,Group 4
328,3423311940,46.31,22,Group 4
329,3423312604,51.36,33,Group 4
330,3423313041,63.62,41,Group 4
331,3423312818,56.54,39,Group 4
332,3423310492,48.58,36,Group 4
333,3423311128,30.37,37,Group 4
334,3423311741,51.75,37,Group 4
335,3423311817,61.68,24,Group 4
336,3423314168,56.54,33,Group 4
337,3423313101,41.22,13,Group 2
338,3423314057,46.08,35,Group 4
339,3423312013,53.21,39,Group 4
340,3423311070,57.95,21,Group 4
341,3423311958,53.4,45,Group 4
342,3423313795,50.32,40,Group 4
343,3423311685,62.06,37,Group 4
344,3423313876,32.9,36,Group 4
345,3423312977,43.48,15,Group 2
346,3423312590,47.76,25,Group 4
347,3423313054,41.61,4,Group 2
348,3423313907,28.72,37,Group 4
349,3423311586,53.37,40,Group 4
350,3423313209,37.81,34,Group 4
351,3423310759,48.7,46,Group 4
352,3423314418,53.23,40,Group 4
353,3423312007,43.47,33,Group 4
354,3423311892,64.55,30,Group 4
355,3423314120,59.34,38,Group 4
356,3423311246,29.92,49,Group 4
357,3423312988,45.67,39,Group 4
358,3423314297,44.99,36,Group 4
359,3423311208,51.07,13,Group 2
360,3423311823,57.87,38,Group 4
361,3423312106,57.9,34,Group 4
362,3423314420,45.41,32,Group 4
363,3423311517,66.97,33,Group 4
364,3423311640,49.37,40,Group 4
365,3423311320,49.54,21,Group 4
366,3423312185,51.73,61,Group 4
367,3423312896,29.68,30,Group 4
368,3423314019,66.12,38,Group 4
369,3423311839,52.68,30,Group 4
370,3423311624,50.32,46,Group 4
371,3423312883,63.2,40,Group 4
372,3423311772,45.12,25,Group 4
373,3423313050,38.69,22,Group 4
374,3423312274,50.77,32,Group 4
375,3423311429,48,23,Group 4
376,3423310739,55.36,47,Group 4
377,3423311395,53.11,48,Group 4
378,3423311354,38.51,28,Group 4
379,3423311393,38.96,21,Group 4
380,3423312817,27.4,30,Group 4
381,3423312479,34.95,35,Group 4
382,3423310481,68.86,31,Group 4
383,3423311405,60.4,28,Group 4
384,3423311690,37.33,38,Group 4
385,3423313373,59.63,24,Group 4
386,3423311282,33.92,43,Group 4
387,3423312839,43.98,6,Group 2
388,3423314319,53.74,31,Group 4
389,3423313884,45.51,33,Group 4
390,3423313972,55.09,19,Group 4
391,3423312249,68.87,18,Group 2
392,3423312335,58.44,19,Group 4
393,3423311494,43.75,19,Group 4
394,3423312701,47.07,33,Group 4
395,3423313515,47.89,28,Group 4
396,3423314282,53.3,41,Group 4
397,3423312619,57.02,37,Group 4
398,3423312412,43.44,31,Group 4
399,3423314324,38.49,21,Group 4
400,3423311966,61.08,24,Group 4
401,3423312519,62.52,41,Group 4
402,3423311365,60.04,34,Group 4
403,3423311004,53.63,20,Group 4
404,3423311801,44.96,46,Group 4
405,3423311838,43.37,50,Group 4
406,3423311337,31.88,30,Group 4
407,3423311381,41.01,37,Group 4
408,3423311788,53.72,13,Group 2
409,3423312168,48.05,18,Group 2
410,3423311734,63.38,41,Group 4
411,3423313610,55.92,22,Group 4
412,3423313259,51.54,22,Group 4
413,3423313763,39.27,34,Group 4
414,3423313915,59.22,14,Group 2
415,3423313443,57.77,14,Group 2
416,3423314388,60.84,9,Group 2
417,3423311771,63.59,21,Group 4
418,3423312064,53.12,30,Group 4
419,3423313947,58.89,9,Group 2
420,3423311377,61.69,36,Group 4
421,3423311879,49.56,24,Group 4
422,3423313273,45.44,29,Group 4
423,3423313260,50.28,21,Group 4
424,3423312737,47.42,35,Group 4
425,3423313200,45.8,28,Group 4
426,3423313121,38.07,23,Group 4
427,3423311258,44.13,24,Group 4
428,3423314365,51.91,59,Group 4
429,3423310478,51.7,36,Group 4
430,3423310833,39.66,19,Group 2
431,3423313185,49.73,26,Group 4
432,3423312421,52.86,24,Group 4
433,3423311571,55.81,29,Group 4
434,3423312578,42.86,24,Group 4
435,3423312982,52.31,25,Group 4
436,3423314281,62.35,28,Group 4
437,3423312574,32.9,16,Group 2
438,3423313596,48.51,23,Group 4
439,3423312692,45.33,12,Group 2
440,3423313089,49.09,12,Group 2
441,3423314364,37.89,14,Group 2
442,3423312830,67.15,17,Group 2
443,3423314422,48.01,32,Group 4
444,3423314257,45.44,28,Group 4
445,3423312259,52.54,22,Group 4
446,3423310550,59.23,40,Group 4
447,3423312359,31.85,37,Group 4
448,3423313930,49.4,54,Group 4
449,3423313282,51.11,25,Group 4
450,3423312938,64.34,47,Group 4
451,3423311073,58.32,42,Group 4
452,3423311930,46.99,13,Group 2
453,3423313641,65.75,34,Group 4
454,3423311511,62.34,12,Group 2
455,3423313352,51.33,38,Group 4
456,3423313889,50,27,Group 4
457,3423313542,63.06,27,Group 4
458,3423312858,64.66,24,Group 4
459,3423314389,54.99,36,Group 4
460,3423313004,40.95,35,Group 4
461,3423311375,52.29,40,Group 4
462,3423311023,40.47,30,Group 4
463,3423310823,59.56,42,Group 4
464,3423312540,58,46,Group 4
465,3423313927,55.12,34,Group 4
466,3423312262,59.21,26,Group 4
467,3423312663,65.54,39,Group 4
468,3423313830,55.64,24,Group 4
469,3423313165,62.4,40,Group 4
470,3423313852,51.01,22,Group 4
471,3423311996,48.83,24,Group 4
472,3423312388,57.58,35,Group 4
473,3423311174,47.21,34,Group 4
474,3423313624,49.26,26,Group 4
475,3423312679,59.51,30,Group 4
476,3423312640,46.12,33,Group 4
477,3423311984,51.7,37,Group 4
478,3423312793,85.36,17,Group 2
479,3423311513,40.04,35,Group 4
480,3423312297,34.77,5,Group 2
481,3423310599,45.1,4,Group 2
482,3423311331,56,8,Group 2
483,3423312797,38.14,5,Group 2
484,3423310994,53.39,5,Group 2
485,3423314011,50.55,7,Group 2
486,3423311899,48.8,6,Group 2
487,3423312465,55.99,3,Group 2
488,3423312364,48.37,4,Group 2
489,3423310629,55.19,6,Group 2
490,3423312374,51.51,5,Group 2
491,3423311872,43.29,9,Group 2
492,3423311133,44.96,7,Group 2
493,3423314224,43.45,5,Group 2
494,3423311001,48.92,8,Group 2
495,3423312057,52.9,6,Group 2
496,3423310758,50.99,5,Group 2
497,3423311732,45.08,5,Group 2
498,3423311038,53.36,2,Group 2
499,3423312266,53.27,4,Group 2
500,3423313753,51.93,6,Group 2
501,3423313741,64.96,6,Group 2
502,3423313179,49.22,5,Group 2
503,3423313355,59.82,7,Group 2
504,3423312895,45.24,4,Group 2
505,3423314338,60.4,7,Group 2
506,3423312533,35.14,5,Group 2
507,3423312437,43.86,6,Group 2
508,3423313894,57.49,6,Group 2
509,3423310963,47.98,7,Group 2
510,3423311552,48.33,7,Group 2
511,3423310655,52.42,3,Group 2
512,3423313603,40.59,6,Group 2
513,3423310676,42.54,3,Group 2
514,3423310888,39.43,6,Group 2
515,3423311109,67.04,4,Group 2
516,3423313105,32.58,5,Group 2
517,3423310977,41.75,9,Group 2
518,3423313010,55.95,4,Group 2
519,3423312400,49.61,4,Group 2
520,3423313807,43.04,8,Group 2
521,3423312684,33.5,5,Group 2
522,3423312188,47.25,6,Group 2
523,3423313285,47.47,7,Group 2
524,3423310830,29.47,8,Group 2
525,3423310541,52.55,2,Group 2
526,3423313828,52.6,3,Group 2
527,3423310737,58.98,6,Group 2
528,3423310778,44.94,4,Group 2
529,3423311521,59.72,7,Group 2
530,3423314275,57.38,5,Group 2
531,3423310783,46.76,6,Group 2
532,3423311087,35.58,5,Group 2
533,3423312845,42.55,10,Group 2
534,3423313480,46.44,5,Group 2
535,3423312741,29.66,1,Group 2
536,3423310820,30.77,8,Group 2
537,3423310614,65.73,8,Group 2
538,3423311591,73.5,6,Group 2
539,3423313420,41.94,3,Group 2
540,3423313854,38.2,6,Group 2
541,3423313323,49.47,4,Group 2
542,3423312841,42.9,6,Group 2
543,3423311146,44.02,4,Group 2
544,3423311855,74.03,6,Group 2
545,3423313450,41.73,7,Group 2
546,3423313376,63.6,4,Group 2
547,3423311989,59.71,4,Group 2
548,3423311621,51.75,4,Group 2
549,3423312387,49.68,5,Group 2
550,3423311702,43.6,1,Group 2
551,3423311158,60.76,6,Group 2
552,3423312490,44.84,2,Group 2
553,3423313181,53.99,4,Group 2
554,3423312014,46.74,4,Group 2
555,3423311633,48.99,7,Group 2
556,3423311928,56.28,4,Group 2
557,3423312069,49.19,3,Group 2
558,3423312219,51.3,5,Group 2
559,3423312360,62.3,6,Group 2
560,3423312190,64.5,5,Group 2
561,3423314203,43.31,3,Group 2
562,3423311618,50.87,4,Group 2
563,3423314159,33.18,1,Group 2
564,3423313130,60.07,2,Group 2
565,3423312497,47.48,2,Group 2
566,3423311271,38.98,5,Group 2
567,3423314265,61.65,4,Group 2
568,3423313548,60.52,9,Group 2
569,3423312569,50.87,4,Group 2
570,3423312260,40.61,4,Group 2
571,3423313278,61.48,3,Group 2
572,3423310549,50.18,6,Group 2
573,3423311544,50.89,10,Group 2
574,3423313908,51.97,4,Group 2
575,3423312011,52.07,5,Group 2
576,3423310929,31.06,3,Group 2
577,3423311108,52.44,6,Group 2
578,3423314372,35.84,9,Group 2
579,3423311332,52.66,7,Group 2
580,3423312722,50.39,4,Group 2
581,3423313104,54.05,1,Group 2
582,3423312214,25.78,3,Group 2
583,3423312499,51.53,8,Group 2
584,3423312406,36.51,7,Group 2
585,3423313492,48.2,6,Group 2
586,3423312460,47.23,5,Group 2
587,3423313299,60.59,6,Group 2
588,3423311261,59.46,8,Group 2
589,3423311635,54.7,4,Group 2
590,3423313994,45.16,4,Group 2
591,3423313870,44.92,3,Group 2
592,3423310781,53.44,5,Group 2
593,3423313895,32.54,9,Group 2
594,3423313229,44.51,5,Group 2
595,3423310465,62.26,6,Group 2
596,3423313134,39.05,3,Group 2
597,3423312454,37.68,4,Group 2
598,3423310770,42.33,10,Group 2
599,3423314185,66.06,4,Group 2
600,3423312672,32.94,7,Group 2
601,3423310554,39.67,4,Group 2
602,3423312348,63.08,9,Group 2
603,3423310824,73.78,4,Group 2
604,3423312602,45.24,5,Group 2
605,3423312717,59.71,9,Group 2
606,3423311747,39.79,6,Group 2
607,3423313025,35.93,6,Group 2
608,3423313790,49.1,5,Group 2
609,3423312402,50.22,8,Group 2
610,3423312144,68.63,8,Group 2
611,3423312289,62.03,6,Group 2
612,3423313758,55.64,7,Group 2
613,3423313921,55.4,8,Group 2
614,3423310454,52.28,8,Group 2
615,3423312081,39.84,1,Group 2
616,3423310510,35.52,5,Group 2
617,3423314262,48.79,3,Group 2
618,3423313860,70.7,2,Group 2
619,3423312516,61.92,4,Group 2
620,3423310785,59.86,4,Group 2
621,3423314276,68.37,5,Group 2
622,3423312309,47.65,4,Group 2
623,3423313959,46.7,0,Group 2
624,3423311509,31.24,1,Group 2
625,3423313448,49.47,10,Group 2
626,3423313335,50.58,8,Group 2
627,3423314117,38.61,6,Group 2
628,3423311619,42.83,6,Group 2
629,3423310706,59.72,7,Group 2
630,3423311537,50.21,2,Group 2
631,3423311089,38.04,7,Group 2
632,3423313621,66.87,6,Group 2
633,3423313346,31.07,3,Group 2
634,3423311660,57.66,6,Group 2
635,3423312382,50.89,5,Group 2
636,3423311689,35.99,5,Group 2
637,3423311423,62.2,4,Group 2
638,3423313349,56.52,2,Group 2
639,3423312111,63.05,1,Group 2
640,3423313822,46.99,3,Group 2
641,3423313537,30.45,2,Group 2
642,3423312774,58.23,6,Group 2
643,3423313452,37.05,5,Group 2
644,3423311569,31.14,4,Group 2
645,3423310482,28.91,4,Group 2
646,3423310645,58.82,4,Group 2
647,3423313386,34.34,3,Group 2
648,3423310799,32.49,3,Group 2
649,3423311807,57.76,3,Group 2
650,3423314421,73.89,4,Group 2
651,3423314387,38.4,8,Group 2
652,3423311188,44.13,5,Group 2
653,3423312263,42.26,6,Group 2
654,3423312804,45.89,7,Group 2
655,3423312572,62.56,8,Group 2
656,3423310978,53.54,6,Group 2
657,3423313497,55.4,4,Group 2
658,3423310975,48.81,3,Group 2
659,3423314045,51.01,7,Group 2
660,3423312813,36.88,7,Group 2
661,3423311114,56.42,6,Group 2
662,3423313164,39.94,4,Group 2
663,3423312433,38.7,8,Group 2
664,3423310703,47.39,6,Group 2
665,3423314355,64.67,3,Group 2
666,3423311349,67.47,5,Group 2
667,3423313726,49.39,6,Group 2
668,3423312733,43.1,6,Group 2
669,3423311774,34.03,5,Group 2
670,3423311203,32.72,0,Group 2
671,3423312485,60.65,5,Group 2
672,3423312560,57.26,6,Group 2
673,3423313976,55.1,4,Group 2
674,3423313424,61.06,4,Group 2
675,3423311644,38.91,4,Group 2
676,3423311240,51.35,3,Group 2
677,3423310854,56.87,6,Group 2
678,3423313832,50.2,5,Group 2
679,3423313864,55.34,6,Group 2
680,3423310936,47.95,3,Group 2
681,3423310470,47.47,6,Group 2
682,3423312401,35.44,6,Group 2
683,3423310687,31.45,8,Group 2
684,3423310892,28.16,3,Group 2
685,3423311490,68.57,6,Group 2
686,3423312120,41.5,5,Group 2
687,3423313369,53.75,8,Group 2
688,3423312112,37.47,5,Group 2
689,3423313878,55.63,4,Group 2
690,3423310526,50.45,7,Group 2
691,3423310926,51.61,3,Group 2
692,3423311247,38.08,7,Group 2
693,3423312367,37.26,5,Group 2
694,3423314414,33.01,4,Group 2
695,3423312413,45.87,6,Group 2
696,3423311585,45.45,4,Group 2
697,3423314004,53.15,8,Group 2
698,3423312148,54.58,5,Group 2
699,3423312449,53.08,2,Group 2
700,3423310472,43.09,4,Group 2
701,3423312356,34.46,4,Group 2
702,3423313067,52.19,4,Group 2
703,3423310949,55.54,5,Group 2
704,3423313254,51.45,5,Group 2
705,3423314300,62.7,1,Group 2
706,3423312015,50.18,8,Group 2
707,3423311866,53.44,6,Group 2
708,3423311129,53.42,4,Group 2
709,3423311808,54.52,4,Group 2
710,3423311615,50.89,6,Group 2
711,3423311026,64.49,9,Group 2
712,3423311837,51.92,8,Group 2
713,3423310750,57.49,6,Group 2
714,3423314208,42.97,1,Group 2
715,3423312029,43.27,4,Group 2
716,3423314376,44.69,6,Group 2
717,3423311646,54.16,3,Group 2
718,3423312070,50.07,4,Group 2
719,3423314034,48.42,5,Group 2
720,3423313689,42.59,6,Group 2
721,3423314221,50.69,4,Group 2
722,3423312245,62.86,3,Group 2
723,3423310615,51.78,2,Group 2
724,3423312720,47.89,3,Group 2
725,3423314111,38.05,1,Group 2
726,3423311744,54.09,4,Group 2
727,3423311053,38.88,4,Group 2
728,3423314345,58,5,Group 2
729,3423311390,42.04,5,Group 2
730,3423312872,35.44,2,Group 2
731,3423313186,43.73,8,Group 2
732,3423312826,65.7,5,Group 2
733,3423310695,43.3,5,Group 2
734,3423312055,54.89,3,Group 2
735,3423314371,54.69,6,Group 2
736,3423310787,46.22,6,Group 2
737,3423311333,47.7,5,Group 2
738,3423313052,39.19,8,Group 2
739,3423313129,57.11,3,Group 2
740,3423313562,47.65,7,Group 2
741,3423312213,38.13,2,Group 2
742,3423312699,33.77,4,Group 2
743,3423312248,54.62,6,Group 2
744,3423314339,51.86,4,Group 2
745,3423311512,56.75,6,Group 2
746,3423314021,50.98,4,Group 2
747,3423313850,46.99,6,Group 2
748,3423314382,52.3,4,Group 2
749,3423311510,47.64,5,Group 2
750,3423311688,28.82,9,Group 2
751,3423311539,53.48,2,Group 2
752,3423310881,45.16,6,Group 2
753,3423313868,56.73,4,Group 2
754,3423310536,71.55,4,Group 2
755,3423313418,32.1,2,Group 2
756,3423310458,41.81,3,Group 2
757,3423312494,52.98,3,Group 2
758,3423310589,43.82,3,Group 2
759,3423311234,40.81,3,Group 2
760,3423311099,46.33,8,Group 2
761,3423311380,37.48,6,Group 2
762,3423313300,42.87,4,Group 2
763,3423313328,54.26,5,Group 2
764,3423313195,46.69,6,Group 2
765,3423312836,48.46,6,Group 2
766,3423310800,56.82,8,Group 2
767,3423313336,48.73,4,Group 2
768,3423313817,38.76,4,Group 2
769,3423312065,38.23,2,Group 2
770,3423313729,54.06,6,Group 2
771,3423311265,42.25,9,Group 2
772,3423310776,35.22,3,Group 2
773,3423312079,43.64,5,Group 2
774,3423314235,45.7,5,Group 2
